wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                
{'loss': 0.6674, 'grad_norm': 5.547190725107371, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.7684, 'grad_norm': 5.7782332544351265, 'learning_rate': 6.25e-07, 'epoch': 0.04}
{'loss': 0.8047, 'grad_norm': 6.695775155823684, 'learning_rate': 1.25e-06, 'epoch': 0.06}
{'loss': 0.7397, 'grad_norm': 5.10878592634649, 'learning_rate': 1.8750000000000003e-06, 'epoch': 0.08}
{'loss': 0.7993, 'grad_norm': 5.893103566462303, 'learning_rate': 2.5e-06, 'epoch': 0.1}
{'loss': 0.9422, 'grad_norm': 5.745154728095555, 'learning_rate': 3.125e-06, 'epoch': 0.12}
{'loss': 0.792, 'grad_norm': 4.22176049505955, 'learning_rate': 3.7500000000000005e-06, 'epoch': 0.14}
{'loss': 0.672, 'grad_norm': 3.6070444563236332, 'learning_rate': 4.3750000000000005e-06, 'epoch': 0.16}
{'loss': 0.7688, 'grad_norm': 3.4222177351840846, 'learning_rate': 5e-06, 'epoch': 0.18}
{'loss': 0.6292, 'grad_norm': 2.4675306377750035, 'learning_rate': 5.625e-06, 'epoch': 0.2}
{'loss': 0.8204, 'grad_norm': 3.1587314620930993, 'learning_rate': 6.25e-06, 'epoch': 0.22}
{'loss': 0.6983, 'grad_norm': 1.8645166948929963, 'learning_rate': 6.875e-06, 'epoch': 0.24}
{'loss': 0.6096, 'grad_norm': 1.8643884708316296, 'learning_rate': 7.500000000000001e-06, 'epoch': 0.25}
{'loss': 0.6522, 'grad_norm': 1.8773032172978052, 'learning_rate': 8.125000000000001e-06, 'epoch': 0.27}
{'loss': 0.8417, 'grad_norm': 2.0925149351477046, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.29}
{'loss': 0.7408, 'grad_norm': 1.8740463359559407, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.31}
{'loss': 0.7835, 'grad_norm': 2.4853250145551717, 'learning_rate': 1e-05, 'epoch': 0.33}
{'loss': 0.5456, 'grad_norm': 1.7061582977637846, 'learning_rate': 9.998685442495921e-06, 'epoch': 0.35}
{'loss': 0.6821, 'grad_norm': 1.5958290336100458, 'learning_rate': 9.994742461208251e-06, 'epoch': 0.37}
{'loss': 0.5871, 'grad_norm': 1.361994821339907, 'learning_rate': 9.988173129447251e-06, 'epoch': 0.39}
{'loss': 0.6289, 'grad_norm': 1.3011073990789512, 'learning_rate': 9.978980901518663e-06, 'epoch': 0.41}
{'loss': 0.7, 'grad_norm': 1.3934832369995904, 'learning_rate': 9.96717061090737e-06, 'epoch': 0.43}
{'loss': 0.7494, 'grad_norm': 1.607728016237829, 'learning_rate': 9.95274846773583e-06, 'epoch': 0.45}
{'loss': 0.6629, 'grad_norm': 1.437502013942984, 'learning_rate': 9.935722055498655e-06, 'epoch': 0.47}
{'loss': 0.6907, 'grad_norm': 1.4286323610113607, 'learning_rate': 9.916100327075038e-06, 'epoch': 0.49}
{'loss': 0.6203, 'grad_norm': 1.301199978241653, 'learning_rate': 9.893893600021112e-06, 'epoch': 0.51}
{'loss': 0.635, 'grad_norm': 1.1952226351098774, 'learning_rate': 9.869113551144754e-06, 'epoch': 0.53}
{'loss': 0.5815, 'grad_norm': 1.0684267127848344, 'learning_rate': 9.841773210365646e-06, 'epoch': 0.55}
{'loss': 0.6161, 'grad_norm': 1.2870852848706673, 'learning_rate': 9.811886953863841e-06, 'epoch': 0.57}
{'loss': 0.5935, 'grad_norm': 1.0552744719643583, 'learning_rate': 9.779470496520442e-06, 'epoch': 0.59}
{'loss': 0.7128, 'grad_norm': 1.1611322503638144, 'learning_rate': 9.744540883654348e-06, 'epoch': 0.61}
{'loss': 0.5796, 'grad_norm': 1.0067246651237405, 'learning_rate': 9.707116482059447e-06, 'epoch': 0.63}
{'loss': 0.548, 'grad_norm': 0.9294834671989879, 'learning_rate': 9.667216970346916e-06, 'epoch': 0.65}
{'loss': 0.5888, 'grad_norm': 1.0457115695616908, 'learning_rate': 9.624863328597767e-06, 'epoch': 0.67}
{'loss': 0.5758, 'grad_norm': 0.980252872904432, 'learning_rate': 9.580077827331038e-06, 'epoch': 0.69}
{'loss': 0.818, 'grad_norm': 1.45535355769206, 'learning_rate': 9.532884015793432e-06, 'epoch': 0.71}
{'loss': 0.5805, 'grad_norm': 0.9373271865210678, 'learning_rate': 9.48330670957659e-06, 'epoch': 0.73}
{'loss': 0.6185, 'grad_norm': 1.001403199895228, 'learning_rate': 9.431371977568483e-06, 'epoch': 0.75}
{'loss': 0.575, 'grad_norm': 0.9551880776501557, 'learning_rate': 9.377107128245782e-06, 'epoch': 0.76}
{'loss': 0.6055, 'grad_norm': 0.9277464771656697, 'learning_rate': 9.32054069531444e-06, 'epoch': 0.78}
{'loss': 0.5805, 'grad_norm': 0.9973661016344192, 'learning_rate': 9.261702422706014e-06, 'epoch': 0.8}
{'loss': 0.615, 'grad_norm': 1.0382262855249118, 'learning_rate': 9.200623248937619e-06, 'epoch': 0.82}
