wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                
{'loss': 1.0146, 'grad_norm': 9.25107369793758, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.111, 'grad_norm': 9.354241188834909, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.03}
{'loss': 0.9218, 'grad_norm': 6.786154632247266, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.04}
{'loss': 0.9268, 'grad_norm': 6.88178479505042, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.06}
{'loss': 0.992, 'grad_norm': 7.551994738923135, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.07}
{'loss': 1.0514, 'grad_norm': 7.559510143886271, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.09}
{'loss': 0.8288, 'grad_norm': 6.139237126925942, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.1}
{'loss': 0.8519, 'grad_norm': 5.723130983647104, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.11}
{'loss': 1.0736, 'grad_norm': 5.434606065051738, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.13}
{'loss': 0.6677, 'grad_norm': 2.732191364218899, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.14}
{'loss': 0.8274, 'grad_norm': 3.5035047686774354, 'learning_rate': 4.761904761904762e-06, 'epoch': 0.16}
{'loss': 0.8146, 'grad_norm': 3.382641183575247, 'learning_rate': 5.2380952380952384e-06, 'epoch': 0.17}
{'loss': 0.8267, 'grad_norm': 2.2815585540924026, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.19}
{'loss': 0.88, 'grad_norm': 2.5308326279346813, 'learning_rate': 6.1904761904761914e-06, 'epoch': 0.2}
{'loss': 0.6844, 'grad_norm': 2.257134289981441, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.21}
{'loss': 0.8744, 'grad_norm': 2.5562855023741022, 'learning_rate': 7.1428571428571436e-06, 'epoch': 0.23}
{'loss': 0.8733, 'grad_norm': 2.5223376644602946, 'learning_rate': 7.61904761904762e-06, 'epoch': 0.24}
{'loss': 0.8145, 'grad_norm': 2.2541780943115963, 'learning_rate': 8.095238095238097e-06, 'epoch': 0.26}
{'loss': 0.7298, 'grad_norm': 2.0948653842596046, 'learning_rate': 8.571428571428571e-06, 'epoch': 0.27}
{'loss': 0.7713, 'grad_norm': 2.0103183316782776, 'learning_rate': 9.047619047619049e-06, 'epoch': 0.29}
{'loss': 0.8514, 'grad_norm': 1.9371343234062794, 'learning_rate': 9.523809523809525e-06, 'epoch': 0.3}
{'loss': 0.6743, 'grad_norm': 1.5577210684069467, 'learning_rate': 1e-05, 'epoch': 0.31}
{'loss': 0.7676, 'grad_norm': 1.6716280117985112, 'learning_rate': 9.99930927345553e-06, 'epoch': 0.33}
{'loss': 0.7982, 'grad_norm': 1.918197971249217, 'learning_rate': 9.99723728466338e-06, 'epoch': 0.34}
{'loss': 0.8151, 'grad_norm': 1.8270220752029378, 'learning_rate': 9.993784606094612e-06, 'epoch': 0.36}
{'loss': 0.6573, 'grad_norm': 1.5144265454968047, 'learning_rate': 9.988952191691925e-06, 'epoch': 0.37}
{'loss': 0.722, 'grad_norm': 1.4376838885610763, 'learning_rate': 9.982741376606077e-06, 'epoch': 0.39}
{'loss': 0.6459, 'grad_norm': 1.235259714599426, 'learning_rate': 9.975153876827008e-06, 'epoch': 0.4}
{'loss': 0.6793, 'grad_norm': 1.2521889924149177, 'learning_rate': 9.966191788709716e-06, 'epoch': 0.41}
{'loss': 0.5884, 'grad_norm': 1.146112584281821, 'learning_rate': 9.955857588395065e-06, 'epoch': 0.43}
{'loss': 0.7266, 'grad_norm': 1.3424844297782723, 'learning_rate': 9.944154131125643e-06, 'epoch': 0.44}
{'loss': 0.5719, 'grad_norm': 1.3138521737418085, 'learning_rate': 9.931084650456892e-06, 'epoch': 0.46}
{'loss': 0.6806, 'grad_norm': 1.3348129003794933, 'learning_rate': 9.916652757363698e-06, 'epoch': 0.47}
{'loss': 0.7443, 'grad_norm': 1.4410382511204056, 'learning_rate': 9.900862439242719e-06, 'epoch': 0.49}
{'loss': 0.7467, 'grad_norm': 1.410924369088043, 'learning_rate': 9.883718058810708e-06, 'epoch': 0.5}
{'loss': 0.6491, 'grad_norm': 1.200824078915516, 'learning_rate': 9.86522435289912e-06, 'epoch': 0.51}
{'loss': 0.7118, 'grad_norm': 1.183006287067027, 'learning_rate': 9.84538643114539e-06, 'epoch': 0.53}
{'loss': 0.7499, 'grad_norm': 1.223749482570572, 'learning_rate': 9.824209774581176e-06, 'epoch': 0.54}
{'loss': 0.6899, 'grad_norm': 1.123613826809949, 'learning_rate': 9.801700234118e-06, 'epoch': 0.56}
