wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                
{'loss': 1.0202, 'grad_norm': 8.223404120347064, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.0768, 'grad_norm': 9.817120323818006, 'learning_rate': 3.5714285714285716e-07, 'epoch': 0.02}
{'loss': 1.0033, 'grad_norm': 8.265590427204916, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.03}
{'loss': 0.8827, 'grad_norm': 7.802612778838501, 'learning_rate': 1.0714285714285714e-06, 'epoch': 0.04}
{'loss': 0.9722, 'grad_norm': 8.049944644049928, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.05}
{'loss': 1.2743, 'grad_norm': 9.46852899600284, 'learning_rate': 1.7857142857142859e-06, 'epoch': 0.07}
{'loss': 0.9734, 'grad_norm': 7.6236227067442215, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.08}
{'loss': 0.7892, 'grad_norm': 5.502340152414819, 'learning_rate': 2.5e-06, 'epoch': 0.09}
{'loss': 1.0963, 'grad_norm': 6.056349087101305, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.1}
{'loss': 0.9048, 'grad_norm': 4.932984098371208, 'learning_rate': 3.2142857142857147e-06, 'epoch': 0.11}
{'loss': 0.8542, 'grad_norm': 4.522790663612938, 'learning_rate': 3.5714285714285718e-06, 'epoch': 0.12}
{'loss': 0.7848, 'grad_norm': 3.980606720947138, 'learning_rate': 3.928571428571429e-06, 'epoch': 0.13}
{'loss': 0.7217, 'grad_norm': 2.8104699573670557, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.14}
{'loss': 0.9675, 'grad_norm': 3.9176278565062255, 'learning_rate': 4.642857142857144e-06, 'epoch': 0.15}
{'loss': 0.8217, 'grad_norm': 1.7932312132035868, 'learning_rate': 5e-06, 'epoch': 0.16}
{'loss': 0.7161, 'grad_norm': 2.2084212746075127, 'learning_rate': 5.357142857142857e-06, 'epoch': 0.18}
{'loss': 0.8814, 'grad_norm': 2.3727542034657336, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.19}
{'loss': 0.9381, 'grad_norm': 2.562515742524792, 'learning_rate': 6.071428571428571e-06, 'epoch': 0.2}
{'loss': 0.8517, 'grad_norm': 2.3469449522266848, 'learning_rate': 6.4285714285714295e-06, 'epoch': 0.21}
{'loss': 0.866, 'grad_norm': 2.185471296325508, 'learning_rate': 6.785714285714287e-06, 'epoch': 0.22}
{'loss': 0.7762, 'grad_norm': 1.9420286259579602, 'learning_rate': 7.1428571428571436e-06, 'epoch': 0.23}
{'loss': 0.747, 'grad_norm': 1.7315603133211248, 'learning_rate': 7.500000000000001e-06, 'epoch': 0.24}
{'loss': 0.743, 'grad_norm': 1.7495455921538807, 'learning_rate': 7.857142857142858e-06, 'epoch': 0.25}
{'loss': 0.6652, 'grad_norm': 1.6077552376987507, 'learning_rate': 8.214285714285714e-06, 'epoch': 0.26}
{'loss': 0.8388, 'grad_norm': 1.6075354649890947, 'learning_rate': 8.571428571428571e-06, 'epoch': 0.27}
{'loss': 0.8378, 'grad_norm': 1.6619977907913714, 'learning_rate': 8.92857142857143e-06, 'epoch': 0.29}
{'loss': 0.7832, 'grad_norm': 1.6035667599268366, 'learning_rate': 9.285714285714288e-06, 'epoch': 0.3}
{'loss': 0.831, 'grad_norm': 1.761346019205242, 'learning_rate': 9.642857142857144e-06, 'epoch': 0.31}
{'loss': 0.875, 'grad_norm': 1.6364436313594821, 'learning_rate': 1e-05, 'epoch': 0.32}
{'loss': 0.7719, 'grad_norm': 1.4074050626011627, 'learning_rate': 9.999588943391597e-06, 'epoch': 0.33}
{'loss': 0.6913, 'grad_norm': 1.4434642859986395, 'learning_rate': 9.9983558411534e-06, 'epoch': 0.34}
{'loss': 0.7705, 'grad_norm': 1.5404820683156715, 'learning_rate': 9.99630089603534e-06, 'epoch': 0.35}
{'loss': 0.7118, 'grad_norm': 1.3079042990465533, 'learning_rate': 9.993424445916923e-06, 'epoch': 0.36}
{'loss': 0.8602, 'grad_norm': 1.5213117084144971, 'learning_rate': 9.989726963751683e-06, 'epoch': 0.37}
{'loss': 0.734, 'grad_norm': 1.3540712383321734, 'learning_rate': 9.98520905748941e-06, 'epoch': 0.38}
{'loss': 0.6936, 'grad_norm': 1.2120721932916816, 'learning_rate': 9.979871469976197e-06, 'epoch': 0.4}
{'loss': 0.7576, 'grad_norm': 1.263885582127894, 'learning_rate': 9.973715078832288e-06, 'epoch': 0.41}
{'loss': 0.7935, 'grad_norm': 1.3114226819164376, 'learning_rate': 9.966740896307791e-06, 'epoch': 0.42}
{'loss': 0.7396, 'grad_norm': 1.2510202898240639, 'learning_rate': 9.95895006911623e-06, 'epoch': 0.43}
{'loss': 0.9674, 'grad_norm': 1.4037062354871257, 'learning_rate': 9.950343878246011e-06, 'epoch': 0.44}
{'loss': 0.6853, 'grad_norm': 1.1796320485707348, 'learning_rate': 9.94092373874978e-06, 'epoch': 0.45}
{'loss': 0.6773, 'grad_norm': 1.188366906075171, 'learning_rate': 9.930691199511775e-06, 'epoch': 0.46}
{'loss': 0.7776, 'grad_norm': 1.4564681950114033, 'learning_rate': 9.91964794299315e-06, 'epoch': 0.47}
{'loss': 0.715, 'grad_norm': 1.4042664807765863, 'learning_rate': 9.907795784955327e-06, 'epoch': 0.48}
{'loss': 0.7681, 'grad_norm': 1.3615804050709734, 'learning_rate': 9.895136674161466e-06, 'epoch': 0.49}
{'loss': 0.9164, 'grad_norm': 1.3372906723838363, 'learning_rate': 9.881672692056022e-06, 'epoch': 0.51}
{'loss': 0.659, 'grad_norm': 1.2771374880524518, 'learning_rate': 9.867406052422525e-06, 'epoch': 0.52}
{'loss': 0.6153, 'grad_norm': 1.0517508305887409, 'learning_rate': 9.852339101019574e-06, 'epoch': 0.53}
{'loss': 0.7044, 'grad_norm': 1.1426529297180796, 'learning_rate': 9.836474315195148e-06, 'epoch': 0.54}
{'loss': 0.7079, 'grad_norm': 1.2525736530100366, 'learning_rate': 9.819814303479268e-06, 'epoch': 0.55}
{'loss': 0.7593, 'grad_norm': 1.4804009478545412, 'learning_rate': 9.802361805155097e-06, 'epoch': 0.56}
{'loss': 0.7915, 'grad_norm': 1.3966693215331791, 'learning_rate': 9.784119689808545e-06, 'epoch': 0.57}
{'loss': 0.7444, 'grad_norm': 1.2975488557786319, 'learning_rate': 9.765090956856437e-06, 'epoch': 0.58}
{'loss': 0.8005, 'grad_norm': 1.3097474878132245, 'learning_rate': 9.745278735053345e-06, 'epoch': 0.59}
{'loss': 0.776, 'grad_norm': 1.4179992112500805, 'learning_rate': 9.724686281977146e-06, 'epoch': 0.6}
{'loss': 0.7451, 'grad_norm': 1.2967839426266996, 'learning_rate': 9.703316983493414e-06, 'epoch': 0.62}
{'loss': 0.5993, 'grad_norm': 1.1704420267917441, 'learning_rate': 9.681174353198687e-06, 'epoch': 0.63}
{'loss': 0.7999, 'grad_norm': 1.2987400284461925, 'learning_rate': 9.658262031842772e-06, 'epoch': 0.64}
{'loss': 0.6613, 'grad_norm': 1.0344292594250917, 'learning_rate': 9.63458378673011e-06, 'epoch': 0.65}
{'loss': 0.746, 'grad_norm': 1.343241896055642, 'learning_rate': 9.610143511100354e-06, 'epoch': 0.66}
{'loss': 0.7583, 'grad_norm': 1.1347179155307205, 'learning_rate': 9.584945223488227e-06, 'epoch': 0.67}
{'loss': 0.7197, 'grad_norm': 1.2718281636543822, 'learning_rate': 9.558993067062785e-06, 'epoch': 0.68}
{'loss': 0.7948, 'grad_norm': 1.2785077895333863, 'learning_rate': 9.532291308946191e-06, 'epoch': 0.69}
{'loss': 0.6674, 'grad_norm': 1.2940309463615394, 'learning_rate': 9.504844339512096e-06, 'epoch': 0.7}
{'loss': 0.6072, 'grad_norm': 1.214623368021803, 'learning_rate': 9.476656671663766e-06, 'epoch': 0.71}
{'loss': 0.7403, 'grad_norm': 1.316852075893866, 'learning_rate': 9.44773294009206e-06, 'epoch': 0.73}
{'loss': 0.6815, 'grad_norm': 1.1771628894222825, 'learning_rate': 9.418077900513377e-06, 'epoch': 0.74}
{'loss': 0.7095, 'grad_norm': 1.43597712851662, 'learning_rate': 9.387696428887715e-06, 'epoch': 0.75}
{'loss': 0.724, 'grad_norm': 1.1912218854597185, 'learning_rate': 9.356593520616948e-06, 'epoch': 0.76}
{'loss': 0.6791, 'grad_norm': 1.191055275139793, 'learning_rate': 9.324774289723469e-06, 'epoch': 0.77}
{'loss': 0.6346, 'grad_norm': 1.1839379702924213, 'learning_rate': 9.292243968009332e-06, 'epoch': 0.78}
{'loss': 0.7211, 'grad_norm': 1.4296425521697105, 'learning_rate': 9.259007904196023e-06, 'epoch': 0.79}
{'loss': 0.7013, 'grad_norm': 1.361771684168428, 'learning_rate': 9.225071563045007e-06, 'epoch': 0.8}
{'loss': 0.6801, 'grad_norm': 1.0810035130579083, 'learning_rate': 9.190440524459203e-06, 'epoch': 0.81}
{'loss': 0.6716, 'grad_norm': 1.200265952040768, 'learning_rate': 9.15512048256552e-06, 'epoch': 0.82}
{'loss': 0.7304, 'grad_norm': 1.3677827140823446, 'learning_rate': 9.119117244778609e-06, 'epoch': 0.84}
{'loss': 0.7415, 'grad_norm': 1.3208346523562002, 'learning_rate': 9.082436730845993e-06, 'epoch': 0.85}
{'loss': 0.7024, 'grad_norm': 1.324976857670603, 'learning_rate': 9.045084971874738e-06, 'epoch': 0.86}
{'loss': 0.7513, 'grad_norm': 1.248059269494651, 'learning_rate': 9.007068109339783e-06, 'epoch': 0.87}
{'loss': 0.7522, 'grad_norm': 1.1671692201931942, 'learning_rate': 8.968392394074164e-06, 'epoch': 0.88}
{'loss': 0.7147, 'grad_norm': 1.1746947302994415, 'learning_rate': 8.929064185241214e-06, 'epoch': 0.89}
{'loss': 0.6978, 'grad_norm': 1.3087700051187159, 'learning_rate': 8.889089949288986e-06, 'epoch': 0.9}
{'loss': 0.7018, 'grad_norm': 1.41916866809631, 'learning_rate': 8.84847625888703e-06, 'epoch': 0.91}
{'loss': 0.8017, 'grad_norm': 1.2582868487784873, 'learning_rate': 8.807229791845673e-06, 'epoch': 0.92}
{'loss': 0.6625, 'grad_norm': 1.1030923806599706, 'learning_rate': 8.765357330018056e-06, 'epoch': 0.93}
{'loss': 0.8109, 'grad_norm': 1.234262166499067, 'learning_rate': 8.722865758185036e-06, 'epoch': 0.95}
{'loss': 0.8018, 'grad_norm': 1.2292400383793491, 'learning_rate': 8.679762062923176e-06, 'epoch': 0.96}
{'loss': 0.6788, 'grad_norm': 1.1273228513766889, 'learning_rate': 8.636053331455986e-06, 'epoch': 0.97}
{'loss': 0.6322, 'grad_norm': 1.1281534832203672, 'learning_rate': 8.591746750488639e-06, 'epoch': 0.98}
{'loss': 0.6806, 'grad_norm': 1.2038827014519395, 'learning_rate': 8.54684960502629e-06, 'epoch': 0.99}
{'loss': 0.7014, 'grad_norm': 1.1860338418666687, 'learning_rate': 8.501369277176275e-06, 'epoch': 1.0}
{'loss': 0.6656, 'grad_norm': 1.3305494143713448, 'learning_rate': 8.455313244934324e-06, 'epoch': 1.01}
{'loss': 0.5628, 'grad_norm': 1.0603495879297333, 'learning_rate': 8.408689080954997e-06, 'epoch': 1.02}
{'loss': 0.577, 'grad_norm': 0.9996479759735324, 'learning_rate': 8.361504451306585e-06, 'epoch': 1.03}
{'loss': 0.5574, 'grad_norm': 1.018476225913716, 'learning_rate': 8.313767114210615e-06, 'epoch': 1.04}
{'loss': 0.6729, 'grad_norm': 1.4490116967337203, 'learning_rate': 8.265484918766243e-06, 'epoch': 1.05}
{'loss': 0.6114, 'grad_norm': 1.1244086698554712, 'learning_rate': 8.216665803659671e-06, 'epoch': 1.07}
{'loss': 0.6764, 'grad_norm': 1.4130987728518836, 'learning_rate': 8.16731779585885e-06, 'epoch': 1.08}
{'loss': 0.7561, 'grad_norm': 1.3962377966740394, 'learning_rate': 8.117449009293668e-06, 'epoch': 1.09}
{'loss': 0.5934, 'grad_norm': 1.3239566847684041, 'learning_rate': 8.067067643521834e-06, 'epoch': 1.1}
{'loss': 0.7248, 'grad_norm': 1.4944631401734052, 'learning_rate': 8.016181982380682e-06, 'epoch': 1.11}
{'loss': 0.6617, 'grad_norm': 1.278144940992745, 'learning_rate': 7.96480039262513e-06, 'epoch': 1.12}
{'loss': 0.6365, 'grad_norm': 1.2345369785315634, 'learning_rate': 7.912931322551981e-06, 'epoch': 1.13}
{'loss': 0.5817, 'grad_norm': 1.2125217747212134, 'learning_rate': 7.860583300610849e-06, 'epoch': 1.14}
{'loss': 0.7435, 'grad_norm': 1.238607719392303, 'learning_rate': 7.807764934001875e-06, 'epoch': 1.15}
{'loss': 0.6295, 'grad_norm': 1.3132105983556057, 'learning_rate': 7.754484907260513e-06, 'epoch': 1.16}
{'loss': 0.6526, 'grad_norm': 1.227399314834078, 'learning_rate': 7.700751980829601e-06, 'epoch': 1.18}
{'loss': 0.6416, 'grad_norm': 1.1558229309099506, 'learning_rate': 7.646574989618938e-06, 'epoch': 1.19}
{'loss': 0.6898, 'grad_norm': 1.159374889563772, 'learning_rate': 7.591962841552627e-06, 'epoch': 1.2}
{'loss': 0.6619, 'grad_norm': 1.2733797781314624, 'learning_rate': 7.536924516104411e-06, 'epoch': 1.21}
{'loss': 0.6143, 'grad_norm': 1.1804851938073462, 'learning_rate': 7.481469062821252e-06, 'epoch': 1.22}
{'loss': 0.6513, 'grad_norm': 1.1564081958650407, 'learning_rate': 7.42560559983536e-06, 'epoch': 1.23}
{'loss': 0.557, 'grad_norm': 1.0753464598131748, 'learning_rate': 7.369343312364994e-06, 'epoch': 1.24}
{'loss': 0.6196, 'grad_norm': 1.013078527180635, 'learning_rate': 7.312691451204178e-06, 'epoch': 1.25}
{'loss': 0.5517, 'grad_norm': 0.9882757989842766, 'learning_rate': 7.255659331201673e-06, 'epoch': 1.26}
{'loss': 0.6475, 'grad_norm': 1.1940064077866481, 'learning_rate': 7.198256329729412e-06, 'epoch': 1.27}
{'loss': 0.6868, 'grad_norm': 1.4100051604316788, 'learning_rate': 7.140491885140629e-06, 'epoch': 1.29}
{'loss': 0.6514, 'grad_norm': 1.1192844056096005, 'learning_rate': 7.082375495217996e-06, 'epoch': 1.3}
{'loss': 0.6834, 'grad_norm': 1.1922796715878072, 'learning_rate': 7.023916715611969e-06, 'epoch': 1.31}
{'loss': 0.6382, 'grad_norm': 1.2157568937242735, 'learning_rate': 6.965125158269619e-06, 'epoch': 1.32}
{'loss': 0.6763, 'grad_norm': 1.3720918504612332, 'learning_rate': 6.906010489854209e-06, 'epoch': 1.33}
{'loss': 0.6188, 'grad_norm': 1.120754630947406, 'learning_rate': 6.846582430155783e-06, 'epoch': 1.34}
{'loss': 0.6567, 'grad_norm': 1.406913238387248, 'learning_rate': 6.786850750493006e-06, 'epoch': 1.35}
{'loss': 0.6362, 'grad_norm': 1.2119955306255559, 'learning_rate': 6.726825272106539e-06, 'epoch': 1.36}
{'loss': 0.5356, 'grad_norm': 1.2302881043488816, 'learning_rate': 6.66651586454421e-06, 'epoch': 1.37}
{'loss': 0.6676, 'grad_norm': 1.2761277526362511, 'learning_rate': 6.605932444038229e-06, 'epoch': 1.38}
{'loss': 0.7341, 'grad_norm': 1.3282667761929554, 'learning_rate': 6.545084971874738e-06, 'epoch': 1.4}
{'loss': 0.5957, 'grad_norm': 1.1811721620997915, 'learning_rate': 6.483983452755953e-06, 'epoch': 1.41}
{'loss': 0.6435, 'grad_norm': 1.215497639949401, 'learning_rate': 6.4226379331551625e-06, 'epoch': 1.42}
{'loss': 0.6043, 'grad_norm': 1.403874431644418, 'learning_rate': 6.361058499664856e-06, 'epoch': 1.43}
{'loss': 0.6593, 'grad_norm': 1.357034341622574, 'learning_rate': 6.299255277338265e-06, 'epoch': 1.44}
{'loss': 0.572, 'grad_norm': 1.0196732173179046, 'learning_rate': 6.237238428024573e-06, 'epoch': 1.45}
{'loss': 0.6664, 'grad_norm': 1.2837036931040975, 'learning_rate': 6.175018148698077e-06, 'epoch': 1.46}
{'loss': 0.6776, 'grad_norm': 1.0946123645996335, 'learning_rate': 6.112604669781572e-06, 'epoch': 1.47}
{'loss': 0.5722, 'grad_norm': 1.1918390838968287, 'learning_rate': 6.050008253464247e-06, 'epoch': 1.48}
{'loss': 0.6792, 'grad_norm': 1.2904998267400105, 'learning_rate': 5.987239192014336e-06, 'epoch': 1.49}
{'loss': 0.5628, 'grad_norm': 1.1304677323402383, 'learning_rate': 5.9243078060868445e-06, 'epoch': 1.51}
{'loss': 0.6196, 'grad_norm': 1.2133549740085778, 'learning_rate': 5.861224443026595e-06, 'epoch': 1.52}
{'loss': 0.7204, 'grad_norm': 1.2461231477281343, 'learning_rate': 5.797999475166897e-06, 'epoch': 1.53}
{'loss': 0.6384, 'grad_norm': 1.2808782440212492, 'learning_rate': 5.734643298124091e-06, 'epoch': 1.54}
{'loss': 0.6636, 'grad_norm': 1.2005146567306402, 'learning_rate': 5.671166329088278e-06, 'epoch': 1.55}
{'loss': 0.6582, 'grad_norm': 1.2831134251751073, 'learning_rate': 5.6075790051105025e-06, 'epoch': 1.56}
{'loss': 0.6696, 'grad_norm': 1.3111576419097697, 'learning_rate': 5.543891781386655e-06, 'epoch': 1.57}
{'loss': 0.615, 'grad_norm': 1.2675310007326177, 'learning_rate': 5.480115129538409e-06, 'epoch': 1.58}
{'loss': 0.7034, 'grad_norm': 1.2139222961179919, 'learning_rate': 5.4162595358914475e-06, 'epoch': 1.59}
{'loss': 0.5932, 'grad_norm': 1.0291472923432425, 'learning_rate': 5.35233549975127e-06, 'epoch': 1.6}
{'loss': 0.6254, 'grad_norm': 1.3159951887984465, 'learning_rate': 5.288353531676873e-06, 'epoch': 1.62}
{'loss': 0.7017, 'grad_norm': 1.2306911476220548, 'learning_rate': 5.224324151752575e-06, 'epoch': 1.63}
{'loss': 0.7333, 'grad_norm': 1.2133544480860377, 'learning_rate': 5.160257887858278e-06, 'epoch': 1.64}
