wandb: Detected [openai] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                 
{'loss': 0.9408, 'grad_norm': 6.82804679705726, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.9706, 'grad_norm': 7.197589901731254, 'learning_rate': 3.0303030303030305e-07, 'epoch': 0.02}
{'loss': 0.9485, 'grad_norm': 7.585041459460935, 'learning_rate': 6.060606060606061e-07, 'epoch': 0.03}
{'loss': 0.9148, 'grad_norm': 6.405621206093465, 'learning_rate': 9.090909090909091e-07, 'epoch': 0.04}
{'loss': 1.1415, 'grad_norm': 8.748030603228756, 'learning_rate': 1.2121212121212122e-06, 'epoch': 0.05}
{'loss': 1.174, 'grad_norm': 8.817742645415251, 'learning_rate': 1.5151515151515152e-06, 'epoch': 0.05}
{'loss': 1.1909, 'grad_norm': 9.164454290517055, 'learning_rate': 1.8181818181818183e-06, 'epoch': 0.06}
{'loss': 1.2236, 'grad_norm': 9.592413205523508, 'learning_rate': 2.1212121212121216e-06, 'epoch': 0.07}
{'loss': 0.8822, 'grad_norm': 5.309467689676984, 'learning_rate': 2.4242424242424244e-06, 'epoch': 0.08}
{'loss': 0.9691, 'grad_norm': 6.596879940746362, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.09}
{'loss': 1.1117, 'grad_norm': 6.057137190057975, 'learning_rate': 3.0303030303030305e-06, 'epoch': 0.1}
{'loss': 0.9888, 'grad_norm': 5.28294154019299, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.11}
{'loss': 0.9851, 'grad_norm': 4.634635778121599, 'learning_rate': 3.6363636363636366e-06, 'epoch': 0.12}
{'loss': 0.9089, 'grad_norm': 3.7236554646179685, 'learning_rate': 3.93939393939394e-06, 'epoch': 0.13}
{'loss': 0.8158, 'grad_norm': 2.6032301651992973, 'learning_rate': 4.242424242424243e-06, 'epoch': 0.14}
{'loss': 0.936, 'grad_norm': 1.9438199385830872, 'learning_rate': 4.5454545454545455e-06, 'epoch': 0.15}
{'loss': 1.0137, 'grad_norm': 2.437862173216761, 'learning_rate': 4.848484848484849e-06, 'epoch': 0.15}
{'loss': 0.7855, 'grad_norm': 2.489799149861553, 'learning_rate': 5.151515151515152e-06, 'epoch': 0.16}
{'loss': 1.145, 'grad_norm': 2.835629540334106, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.17}
{'loss': 0.8593, 'grad_norm': 2.6271264212839727, 'learning_rate': 5.7575757575757586e-06, 'epoch': 0.18}
{'loss': 0.8182, 'grad_norm': 2.3773259419517947, 'learning_rate': 6.060606060606061e-06, 'epoch': 0.19}
{'loss': 0.7489, 'grad_norm': 2.038998023618854, 'learning_rate': 6.363636363636364e-06, 'epoch': 0.2}
{'loss': 1.041, 'grad_norm': 2.2149783014608833, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.21}
{'loss': 0.7606, 'grad_norm': 1.7119204650436275, 'learning_rate': 6.969696969696971e-06, 'epoch': 0.22}
{'loss': 0.843, 'grad_norm': 1.7338081268236631, 'learning_rate': 7.272727272727273e-06, 'epoch': 0.23}
{'loss': 0.9557, 'grad_norm': 1.877229088878829, 'learning_rate': 7.5757575757575764e-06, 'epoch': 0.24}
{'loss': 0.9101, 'grad_norm': 1.79514859613854, 'learning_rate': 7.87878787878788e-06, 'epoch': 0.25}
{'loss': 0.8111, 'grad_norm': 1.6229014100640653, 'learning_rate': 8.181818181818183e-06, 'epoch': 0.25}
{'loss': 0.8005, 'grad_norm': 1.683177139943606, 'learning_rate': 8.484848484848486e-06, 'epoch': 0.26}
{'loss': 0.618, 'grad_norm': 1.412615751241454, 'learning_rate': 8.787878787878788e-06, 'epoch': 0.27}
{'loss': 0.7147, 'grad_norm': 1.3905972482694269, 'learning_rate': 9.090909090909091e-06, 'epoch': 0.28}
{'loss': 0.8325, 'grad_norm': 1.5026399742500107, 'learning_rate': 9.393939393939396e-06, 'epoch': 0.29}
{'loss': 0.762, 'grad_norm': 1.3529863815272538, 'learning_rate': 9.696969696969698e-06, 'epoch': 0.3}
{'loss': 0.8526, 'grad_norm': 1.5829413272318922, 'learning_rate': 1e-05, 'epoch': 0.31}
{'loss': 0.8677, 'grad_norm': 1.5558573136473215, 'learning_rate': 9.999720280459576e-06, 'epoch': 0.32}
{'loss': 0.8456, 'grad_norm': 1.511912646450825, 'learning_rate': 9.99888115313551e-06, 'epoch': 0.33}
{'loss': 0.7464, 'grad_norm': 1.481933836086002, 'learning_rate': 9.997482711915926e-06, 'epoch': 0.34}
{'loss': 0.7401, 'grad_norm': 1.3387825313659312, 'learning_rate': 9.99552511326936e-06, 'epoch': 0.35}
{'loss': 0.7527, 'grad_norm': 1.228111706166427, 'learning_rate': 9.993008576227248e-06, 'epoch': 0.35}
{'loss': 0.8072, 'grad_norm': 1.299438357694279, 'learning_rate': 9.989933382359423e-06, 'epoch': 0.36}
{'loss': 0.9157, 'grad_norm': 1.576107544250536, 'learning_rate': 9.986299875742612e-06, 'epoch': 0.37}
{'loss': 0.9447, 'grad_norm': 1.5129220517361146, 'learning_rate': 9.982108462921938e-06, 'epoch': 0.38}
{'loss': 0.8493, 'grad_norm': 1.5628295197635431, 'learning_rate': 9.977359612865424e-06, 'epoch': 0.39}
{'loss': 0.8108, 'grad_norm': 1.3824954491475334, 'learning_rate': 9.972053856911534e-06, 'epoch': 0.4}
{'loss': 0.886, 'grad_norm': 1.5499146954492862, 'learning_rate': 9.966191788709716e-06, 'epoch': 0.41}
{'loss': 0.7141, 'grad_norm': 1.3481055810366975, 'learning_rate': 9.959774064153977e-06, 'epoch': 0.42}
{'loss': 0.736, 'grad_norm': 1.3136103079588688, 'learning_rate': 9.952801401309504e-06, 'epoch': 0.43}
{'loss': 0.7716, 'grad_norm': 1.3576998418643198, 'learning_rate': 9.945274580332316e-06, 'epoch': 0.44}
{'loss': 0.749, 'grad_norm': 1.130868234135363, 'learning_rate': 9.937194443381972e-06, 'epoch': 0.45}
{'loss': 0.8037, 'grad_norm': 1.2492359865036449, 'learning_rate': 9.928561894527354e-06, 'epoch': 0.45}
{'loss': 0.8374, 'grad_norm': 1.444919120847928, 'learning_rate': 9.919377899645497e-06, 'epoch': 0.46}
{'loss': 0.7456, 'grad_norm': 1.2757368996427834, 'learning_rate': 9.909643486313533e-06, 'epoch': 0.47}
{'loss': 0.749, 'grad_norm': 1.24231103723658, 'learning_rate': 9.899359743693715e-06, 'epoch': 0.48}
{'loss': 0.6226, 'grad_norm': 1.1723030529993115, 'learning_rate': 9.888527822411543e-06, 'epoch': 0.49}
{'loss': 0.8689, 'grad_norm': 1.4443417581417148, 'learning_rate': 9.877148934427037e-06, 'epoch': 0.5}
{'loss': 0.8266, 'grad_norm': 1.2444407136272757, 'learning_rate': 9.86522435289912e-06, 'epoch': 0.51}
{'loss': 0.811, 'grad_norm': 1.2747088112929408, 'learning_rate': 9.85275541204318e-06, 'epoch': 0.52}
{'loss': 0.8537, 'grad_norm': 1.3786089837299345, 'learning_rate': 9.839743506981783e-06, 'epoch': 0.53}
{'loss': 0.6223, 'grad_norm': 1.1431993058028773, 'learning_rate': 9.826190093588564e-06, 'epoch': 0.54}
{'loss': 0.7821, 'grad_norm': 1.48116087223175, 'learning_rate': 9.812096688325354e-06, 'epoch': 0.55}
{'loss': 0.6911, 'grad_norm': 1.1807294518884246, 'learning_rate': 9.797464868072489e-06, 'epoch': 0.55}
{'loss': 0.8226, 'grad_norm': 1.436533802321629, 'learning_rate': 9.78229626995238e-06, 'epoch': 0.56}
{'loss': 0.8204, 'grad_norm': 1.4159842431723269, 'learning_rate': 9.766592591146353e-06, 'epoch': 0.57}
{'loss': 0.7471, 'grad_norm': 1.3198736126823, 'learning_rate': 9.750355588704728e-06, 'epoch': 0.58}
{'loss': 0.8586, 'grad_norm': 1.4364919225419424, 'learning_rate': 9.733587079350254e-06, 'epoch': 0.59}
{'loss': 0.6312, 'grad_norm': 1.2543476017387631, 'learning_rate': 9.716288939274818e-06, 'epoch': 0.6}
{'loss': 0.8423, 'grad_norm': 1.5176025422620028, 'learning_rate': 9.698463103929542e-06, 'epoch': 0.61}
{'loss': 0.7024, 'grad_norm': 1.330611920451671, 'learning_rate': 9.680111567808212e-06, 'epoch': 0.62}
{'loss': 0.7163, 'grad_norm': 1.28479042357661, 'learning_rate': 9.66123638422413e-06, 'epoch': 0.63}
{'loss': 0.8125, 'grad_norm': 1.2714089792554564, 'learning_rate': 9.641839665080363e-06, 'epoch': 0.64}
{'loss': 0.8158, 'grad_norm': 1.509958520936712, 'learning_rate': 9.621923580633462e-06, 'epoch': 0.65}
